date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:00	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2015%20Jun%202024%2012:39:00%20GMT	https://demos.codexcoder.com/robots.txt		(from )
13:39:01	158309/158309	---MC-	200	added ('OK')	text/html	date:Sat,%2015%20Jun%202024%2012:39:00%20GMT	https://demos.codexcoder.com/all-study/	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/index.html	(from )
13:39:02	113381/113381	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2003:44:59%20GMT	https://demos.codexcoder.com/all-study/wp-includes/css/dist/block-library/style.min.css?ver=6.5.4	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-includes/css/dist/block-library/style.min380f.css	(from https://demos.codexcoder.com/all-study/)
13:39:03	2630/2630	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2003:44:29%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://demos.codexcoder.com/all-study/)
13:39:03	33948/33948	---MC-	200	added ('OK')	application/rss+xml	etag:%22b88cc85be26ef105c5b6948adc6353b8%22	https://demos.codexcoder.com/all-study/feed/	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/feed/index.html	(from https://demos.codexcoder.com/all-study/)
13:39:05	30603/30603	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2003:44:29%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://demos.codexcoder.com/all-study/)
13:39:05	314/314	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jun%202024%2012:39:04%20GMT	http://demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/prettyPhoto.3005e.delayed	(from https://demos.codexcoder.com/all-study/)
13:39:05	6990/6990	---MC-	200	added ('OK')	application/rss+xml	etag:%22b88cc85be26ef105c5b6948adc6353b8%22	https://demos.codexcoder.com/all-study/comments/feed/	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/comments/feed/index.html	(from https://demos.codexcoder.com/all-study/)
13:39:05	9062/9062	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2019:18:27%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://demos.codexcoder.com/all-study/)
13:39:05	29471/29471	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2003:44:29%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style.css?ver=3.32.0	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/yith-woocommerce-wishlist/assets/css/style905c.css	(from https://demos.codexcoder.com/all-study/)
13:39:05	1693/1693	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Oct%202018%2008:49:56%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/all-study-post-like/css/post-like.css?ver=6.5.4	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/all-study-post-like/css/post-like380f.css	(from https://demos.codexcoder.com/all-study/)
13:39:06	2894/2894	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2003:44:10%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.3	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/contact-form-7/includes/css/styles7404.css	(from https://demos.codexcoder.com/all-study/)
13:39:06	17688/17688	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2019:18:27%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.8.5	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutc484.css	(from https://demos.codexcoder.com/all-study/)
13:39:06	7043/7043	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2019:18:27%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.8.5	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenc484.css	(from https://demos.codexcoder.com/all-study/)
13:39:07	77174/77174	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Jun%202024%2019:18:27%20GMT	https://demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.8.5	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/plugins/woocommerce/assets/css/woocommercec484.css	(from https://demos.codexcoder.com/all-study/)
13:39:07	121200/121200	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Sep%202018%2020:19:02%20GMT	https://demos.codexcoder.com/all-study/wp-content/themes/all-study/assets/css/bootstrap.min.css?ver=6.5.4	C:/Users/HP/OneDrive/Bureau/temps/demos.codexcoder.com/all-study/wp-content/themes/all-study/assets/css/bootstrap.min380f.css	(from https://demos.codexcoder.com/all-study/)
